Genes,Diseases,Word2vec,BERT,BioBERT,BioSentVec,Word2vec.Humans,BERT.Humans
RP1L1,mixed_gliomas,0.06655681,0.8305671552,0.8300549269,0.09251674265,,0.87028754
SNX7,intestinal_neoplasms,0.31556237,0.7942802264,0.8113475294,0.07450123131,,0.87446535
CBX6,alcohol_use_disorder,0.291736,0.7512801243,0.8433875511,0.09033291042,,0.8393091
HSPA14,halitosis,0.0015245304,0.8711838645,0.8717661528,-0.114999637,,0.88213235
SUMO1P3,acute_undifferentiated_leukemia,0.53534925,0.8447902524,0.7665287136,0.1823922545,,0.85874176
TMSB4X,heroin_abuse,0.07067658,0.8087448307,0.8364522863,0.1429234743,,0.8587646
EEF1A1,barrett_esophagus,0.111349136,0.8022439986,0.8323374351,0.04266429693,0.1750110835,0.8700297
ODF2,acute_coronary_syndrome,-0.015697308,0.7451676973,0.8108906842,0.09300114959,-0.02769500948,0.8506829
ZNF367,restrictive_cardiomyopathy,0.22970353,0.8117276883,0.7804761543,0.1734650284,,0.83145285
GLUL,autosomal_dominant_hypophosphatemic_rickets,0.48217174,0.8700202765,0.7496461717,0.1691579372,0.5692122579,0.86476624
CGAS,intestinal_cancer,0.19696544,0.8310174066,0.8456236969,0.09719233215,0.2328677475,0.8533381
SMOC2,cardiovascular_diseases,0.20298882,0.8149254272,0.8365670665,0.1749943495,0.0901286751,0.8826879
MBOAT1,leukoencephalopathy,0.22614746,0.7864546381,0.7530439331,0.112569876,,0.8494205
EHD1,dermatologic_disorders,0.2399278,0.8196588917,0.8114259584,0.04827018455,0.597868681,0.8615352
ADIPOQ,gait_ataxia,0.100933224,0.8602571975,0.8331554314,0.1024815217,0.1220053881,0.8630391
DOK4,anophthalmos,0.043283947,0.8122746938,0.8056679337,0.1120846793,-0.07858739048,0.8789362
PNP,pseudopelade,0.12267233,0.8335405986,0.8784580037,0.1509462595,,0.8400037
SON,corneal_neovascularization,-0.07151532,0.7666116569,0.7498839439,-0.004098455887,0.07395215333,0.79065347
PLS3,retinoblastoma,0.41294253,0.8113259213,0.8441987286,0.09261228144,0.3556699753,0.84353215
GBP1,histidinemia,0.15093364,0.8760171753,0.8731624282,0.1147181466,0.2408619672,0.8708122
C9,juvenile_neuronal_ceroid_lipofuscinosis,0.011459947,0.7703199479,0.7401502202,0.03647465259,,0.83282447
HRH3,reactive_depression,0.20393604,0.8344543141,0.8589728542,0.08565472066,,0.84027267
MUC7,resting_tremor,0.11298969,0.8544486025,0.8321335031,0.06792597473,0.4094163775,0.8853762
RIC1,chordoma,0.3174759,0.8620625657,0.8837073044,0.07364921272,,0.8808161
SSU72,spasmus_nutans,0.5679528,0.8613537362,0.833237731,0.08888015896,,0.897853
TUBB4A,reactive_hyperemia,0.07910403,0.8632231768,0.832425245,-0.00519437762,0.1451258361,0.8343351
CBX4,complete_hearing_loss,0.31568658,0.7511082232,0.8460663787,0.1408125311,,0.8098993
PLXNC1,peritonitis,-0.019033294,0.8145468663,0.8465080284,0.06479678303,,0.83962387
TLX3,cutaneous_melanoma,0.3276997,0.7566020248,0.8370124528,0.1191604957,0.4607891738,0.878914
HLA-DQB2,angiolymphoid_hyperplasia,0.26132965,0.7994243866,0.8363936187,0.06089444831,,0.8923206
KRT18,ulcerative_colitis,0.11441881,0.7836115424,0.8019743295,0.05379628763,0.1556839943,0.8383278
KLF5,juvenile_polyposis_coli,0.24235961,0.8449668849,0.8139261577,0.1940708607,,0.8952422
AMELX,vater_association,0.3810883,0.8599775163,0.8983050276,0.1408641636,0.3631128073,0.9009026
ARRDC3,hyperkalemia,0.12955436,0.8157689035,0.8187229251,0.1590363532,0.08803471923,0.8667065
ERH,otitis_media,0.19923106,0.8480643218,0.8517973964,0.05527408049,0.2190979719,0.8966773
STH,fg_syndrome,0.14440054,0.8888985534,0.9080593637,0.06463675946,0.147503376,0.918103
MFSD8,beryllium_disease,0.4358827,0.8250363061,0.8296979289,0.194458276,,0.88277066
ADRB3,hiv_infections,-0.04185489,0.8788880174,0.8717229002,0.02523805015,0.1735570431,0.89432997
LIMCH1,alcohol_sensitivity,0.21612811,0.860736242,0.865839631,0.169758603,,0.9000958
GNG7,juvenile_polyposis_coli,0.4084255,0.8067564145,0.7906208902,0.1222181097,,0.8781116
VIT,cervix_carcinoma,-0.029448256,0.7878927184,0.7978660437,-0.04940154776,,0.8737265
PORCN,pain_postoperative,0.22898951,0.8559594334,0.8494888568,0.09106710553,0.06617482007,0.8497242
EIF4EBP1,toxic_epidermal_necrolysis,0.115459755,0.8402671148,0.8008166256,0.03248656169,0.09104655683,0.8680129
CMPK2,alport_syndrome,0.25270233,0.8623504727,0.8512787104,-0.08029541373,,0.87174785
ALAS2,junctional_epidermolysis_bullosa,0.46170798,0.8473038966,0.818561094,0.1625137329,0.5645136833,0.8744353
DTNA,marden-walker_syndrome,0.41495425,0.8476208875,0.8552945137,0.1920635253,,0.89715374
CENPE,polydactyly,0.24965999,0.8641114611,0.7497268161,0.219467029,0.4134554267,0.869579
ADAM15,acquired_angioedema,0.40108097,0.7898789664,0.8215956539,0.1004128978,0.4142212272,0.86527514
HSD3B1,glucose_metabolism_disorders,0.2000575,0.8283524904,0.8278757306,0.1589629203,0.2503875792,0.8617463
ATP1B3,thyroid_agenesis,0.23791333,0.8418987071,0.8628955555,0.09621416777,,0.865787
FBXO30,enterocolitis,0.15966684,0.7874033988,0.8427377996,0.1313374788,,0.8509154
SEMA3F,kufor-rakeb_syndrome,0.39629248,0.8989171515,0.8625952054,0.06827045232,0.6041785479,0.88162404
DAPK3,liver_cirrhosis,0.15803957,0.7963483715,0.8060036893,0.2169216275,,0.8820931
VIPR1,autoimmune_hemolytic_anemia,0.3176394,0.8366358669,0.8006126065,0.09504629672,0.3421320319,0.8673288
DRD5,familial_partial_lipodystrophy,0.44755518,0.7780605494,0.8152327978,0.1574825346,0.4685159028,0.86609775
MMP15,seckel_syndrome,0.3454067,0.8525320294,0.8511510884,0.1635800004,,0.8747652
AMN1,ear_diseases,0.31461996,0.8515193495,0.8792220346,-0.06696984172,,0.8725217
CHKA,trimethylaminuria,0.3572613,0.8033009868,0.8119200874,0.3063634634,0.2918679118,0.84111154
ESPN,erythromelalgia,0.4520907,0.7712509121,0.8055632818,-0.02264452167,0.5648092031,0.8801164
ORC6,neointima,0.15066014,0.8437197988,0.807065032,0.1653856635,0.2274945229,0.85579574
ELAC1,pituitary_hormone_deficiency,0.06555994,0.8333432898,0.8177349224,0.09476389736,,0.88516665
CDKN1A,islet_cell_tumor,0.13289587,0.8396411984,0.8356026826,0.1273647547,0.3124191761,0.83116007
DKKL1,hypergammaglobulinemia,0.39233008,0.825854445,0.7764562843,0.1473014951,0.4244988561,0.86960006
SERPINF2,chylopericardium,0.52164036,0.8565810718,0.8517765849,0.1971744448,,0.8992831
COL1A1,infant_death,0.16841951,0.7883175892,0.8355143052,0.05325808004,0.3339505792,0.84153694
GDF15,hypoadiponectinemia,0.38737684,0.8057613912,0.7884796633,0.415454179,0.3663010001,0.85917455
MALL,neoplasm_seeding,0.024155637,0.8273758315,0.7907552098,0.05044874921,,0.79901636
LCP1,intestinal_obstruction,0.023313925,0.8304452853,0.8420880012,0.06586574018,0.06913843006,0.8548211
TAP1,lupus_vulgaris,0.1388395,0.8278055994,0.7635816511,0.1103334278,0.1657560468,0.8621973
BRD2,cardiopulmonary_arrest,0.022253573,0.7833926224,0.7689229419,0.08335026354,0.2664772868,0.86456144
CAPN3,left_atrial_isomerism,0.3753274,0.8377894716,0.8339214963,0.107475467,,0.83315206
DDX1,infantile_encephalopathy,0.4421397,0.7573532466,0.8125894024,0.1444282085,,0.80986947
CD3E,polycystic_ovary_syndrome,-0.053642444,0.8222537797,0.8012451201,0.0679942742,-0.04100385308,0.86883044
CNST,blepharospasm,0.18091238,0.8118105118,0.7821449949,0.08163286,0.1985834241,0.8342423
PDCD1,dextrocardia,0.24335478,0.8647491396,0.8359140018,0.1509418786,0.4698539078,0.824008
MAF,enchondromatosis,0.16796736,0.8077327,0.8170357158,0.129670769,0.2453929037,0.88546306
MEIS2,psychotic_disorders,0.128411,0.8262620928,0.8078277441,0.09809439629,0.1419808418,0.84097844
ALPI,medulloblastoma,0.12836589,0.7946381889,0.7901851246,0.06020413339,0.06164824218,0.86234736
DHX33,muenke_syndrome,0.66296375,0.8524620152,0.8963271804,0.2394945771,0.6348912716,0.89274824
PSIP1,sciatic_neuropathy,0.35702163,0.8622884907,0.8389300505,0.08664257824,,0.91160977
NXF3,gastrointestinal_hemorrhage,0.26422194,0.7131041323,0.7809441185,0.1267323792,,0.80065954
TNNI3,zap70_deficiency,0.15473753,0.8744669806,0.8967017744,0.2432333678,,0.89442825
NAP1L1,appetite_disorders,-0.031521052,0.8448971508,0.8520390492,0.09231149405,0.233136192,0.8622773
TINCR,progressive_supranuclear_palsy,0.005006222,0.7996711797,0.7682392036,0.1134478003,0.1817990243,0.8924457
UHRF1,situs_ambiguous,0.22477686,0.8912404754,0.8223296688,0.09613258392,,0.868642
APOC1,demyelination,0.14554499,0.8610825806,0.81858989,0.1978173703,0.3033649325,0.8802748
DUSP10,pseudohermaphroditism,0.23404488,0.8265393487,0.7813923721,0.1325451583,0.1196220517,0.84025574
CHMP3,ventricular_outflow_obstruction,0.3777752,0.8107624887,0.783504752,0.07409740984,,0.8220849
EIF4E3,communicating_hydrocephalus,0.2741949,0.8440828804,0.7666973301,0.1371610314,0.3206855059,0.8799691
NUCKS1,heart_block,0.09266003,0.8393063557,0.824987922,0.06706942618,0.1284518689,0.89768875
CAPZB,robinow_syndrome,0.6810103,0.8617085597,0.8584801859,0.06241093203,,0.89911115
UHRF1,diabetic_nephropathy,0.23355407,0.816366333,0.7990910931,0.07838796824,0.2164764553,0.86142355
ZNF395,cocaine_abuse,0.33158574,0.8103868858,0.8076785511,0.1131884381,0.2386226058,0.8381183
IGF2,withdrawal_symptoms,-0.07869595,0.7591355825,0.8435355234,0.05487250537,-0.1439324468,0.8858601
LINGO2,muscle_rigidity,0.17897035,0.8461641928,0.830515552,0.08134862781,,0.8661207
CDR2,progesterone_resistance,0.13609225,0.8197926944,0.8400889531,0.1315884143,0.2740473151,0.85952276
VRTN,chronic_q_fever,0.3931965,0.8451925355,0.8919341514,0.07202851027,,0.89685655
SPOCK2,xx_males,0.25663263,0.8397610613,0.82301363,0.104126066,,0.87690806
NFIB,pathologic_neovascularization,0.36294335,0.8475473567,0.8087727542,0.1942157894,,0.83477545
PCA3,potocki-lupski_syndrome,0.15171397,0.82326715,0.795082702,0.04769687727,0.2463214099,0.8521238
RELL2,spinal_cord_diseases,0.38167956,0.8285339548,0.8362241591,0.054984577,,0.79404134
KY,shortened_qt_interval,0.16308208,0.8714591687,0.8288141767,0.05782418698,,0.84916234
CCL17,5q-syndrome,0.27312192,0.8725889921,0.8071751932,0.146667093,0.4712563753,0.87524045
PCSK1,lambert-eaton_myasthenic_syndrome,0.13855822,0.8545556199,0.8336122168,0.08549866825,0.213083744,0.84081936
H19,binswanger_disease,0.12924966,0.8200053427,0.8034011217,0.01699696667,0.2804834247,0.8287734
TRPC7,ellis-van_creveld_syndrome,0.59719,0.7925154891,0.7961777902,0.2137646377,0.4004158974,0.87881875
RD3,appetite_disorders,-0.06053585,0.78522602,0.8316266779,0.07991759479,0.08752653003,0.886363
MPC2,epidermolysis_bullosa,0.24275292,0.8413731768,0.7940198267,0.007721249945,0.3126347661,0.8251436
RTN4IP1,solitary_fibrous_tumor,0.1609732,0.818850349,0.8197346855,0.1070717648,0.01924814656,0.8377441
NDRG1,neurocognitive_disorders,0.17530718,0.8269569264,0.8063043237,0.07948343456,0.3281811476,0.87851465
VPS18,refractive_errors,0.19302163,0.8592878689,0.8070215322,0.1105257571,,0.8427234
AQP3,fibroatheroma,0.042688258,0.8371523714,0.8555032833,0.03310986608,0.2256664187,0.8723662
IL12RB1,nephrocalcinosis,0.17842361,0.8652392742,0.8142750337,0.1168960482,0.1913451552,0.8489511
INF2,coronary_arteriosclerosis,0.21736076,0.6976147292,0.7631736103,0.04925530031,0.3413344622,0.8654872
REV1,attention_deficit_disorder,0.0503478,0.7880354131,0.8009816807,0.03794797137,0.1516563147,0.79126775
PTF1A,multiple_organ_failure,0.09984299,0.8212462351,0.827808971,0.1452996284,-0.06195693836,0.7870864
NR4A3,fever,-0.06406456,0.779678112,0.8056923728,0.1142962128,0.09317831695,0.8337959
SURF1,neuropathy,0.27582884,0.8413134332,0.8319533792,0.142535612,0.1552869678,0.84643704
EIF3A,spinocerebellar_ataxia_type_7,0.41982552,0.8235876317,0.8016966671,0.1815968603,0.3969637156,0.8583536
OXR1,asymptomatic,-0.12949938,0.8363306528,0.804436668,-0.00662300922,-0.1108950227,0.8964995
SPAG9,spasmodic_torticollis,0.26322973,0.8198737686,0.8173624207,0.1534637362,0.2580844164,0.9348854
CDK17,ewings_sarcoma,0.5166246,0.860505985,0.8518279661,0.09789779782,,0.87872875
GCKR,postherpetic_neuralgia,0.13244101,0.8018769789,0.801234302,0.06491719931,0.2941101193,0.8734636
PPL,neurofibromatosis-noonan_syndrome,0.1463165,0.7535198374,0.7424728197,0.09571456164,0.3464036584,0.81392443
LRRC4,retrobulbar_neuritis,0.59904253,0.7988391346,0.7994445592,0.1552104652,0.5442428589,0.85978425
TTYH2,smith-magenis_syndrome,0.3382837,0.8592593438,0.872206002,0.2373141646,,0.90404
RPS27L,neurofibromatosis_1,0.11467843,0.8525345453,0.8449320171,0.2278333157,0.1132814139,0.84783256
MYRIP,hypersplenism,0.12041223,0.8367718571,0.8047205721,0.0831726715,,0.8589571
CTNND1,gianotti-crosti_syndrome,0.20706749,0.8071169793,0.8407250296,0.09901890904,0.296099782,0.8959668
EPHA1,tick-borne_infections,0.398824,0.8715645023,0.8319099718,0.1718264967,0.04290976375,0.86467326
SH3BP1,meningomyelocele,0.3739202,0.8472549533,0.8032646071,0.2634786963,,0.8452096
CDK18,neurologic_deficits,0.09256941,0.8164981571,0.7997326575,0.1496796012,0.1083854586,0.8351123
NFE2L1,thrombosis,0.022879682,0.8398028675,0.8146385166,-0.02557667531,-0.02432281524,0.88140166
RPAP2,acute_monocytic_leukemia,0.48992294,0.8393017012,0.7542422582,0.1307267398,,0.83641124
POLB,classical_lissencephaly,0.29531753,0.8738954155,0.7974121522,0.1230609342,0.351344794,0.8366559
CCL20,gonadal_dysgenesis,0.018130675,0.790095084,0.7760319814,0.09603063762,0.1721084118,0.88810205
NPAP1,narcolepsy_1,0.3536026,0.8826880561,0.8580124227,0.1546109468,0.08736956865,0.8978261
TNRC6C,mast_syndrome,0.14813234,0.7778847468,0.8416652524,0.1257331371,,0.8598012
KLF16,sclerosteosis,0.39330018,0.8454617101,0.8354950774,0.2194516659,0.5013999939,0.8798001
HSPA1A,sick_building_syndrome,0.23177761,0.8729431889,0.8464445613,0.1051244289,0.1673975885,0.85197663
PTGDS,reticulocytosis,0.20394374,0.7819665848,0.8068966766,0.08367748559,0.3318559527,0.86468625
EBI3,typhlitis,0.25160596,0.8084368079,0.823122107,0.1989941299,0.403210938,0.8688796
BASP1,ataxia_telangiectasia,0.34839305,0.8681575274,0.7898410137,0.06663026661,0.3105293512,0.9010462
FBXO5,mucopolysaccharidosis_vii,0.33890212,0.7966601168,0.8314256368,0.07509820163,,0.86635524
MUC15,drug_abuse,0.12881285,0.8363295895,0.8581761771,0.107699126,0.2515553832,0.84899014
ALYREF,aids_dementia_complex,0.22837867,0.8705127039,0.8291485409,0.1457360536,0.1583010256,0.88386244
SECTM1,central_diabetes_insipidus,0.23888361,0.8549087489,0.7711784147,0.09756252915,0.3864710033,0.8522222
MSI2,bilateral_headache,0.27715546,0.8265296292,0.8695778301,0.1011220738,0.3999046385,0.83304197
PTOV1,juvenile_myoclonic_epilepsy,0.16843438,0.790693232,0.7825922044,0.1687985361,0.2003225982,0.83259124
KIF23,pilocytic_astrocytoma,0.58748186,0.8205634371,0.789501198,0.1953370869,0.6209955812,0.8319542
KRT19,trichotillomania,0.13788195,0.843500345,0.8483638423,0.1187752709,0.3541597426,0.88724065
TMX4,mohr-tranebjaerg_syndrome,0.07507259,0.7919746331,0.8360476001,0.1082103476,,0.88913655
VDAC2,pulmonary_edema,0.14869341,0.8181934277,0.8502162705,0.09570385516,0.3971045613,0.85300255
C1QA,disruptive_behavior_disorder,0.2758845,0.8122543611,0.8113728651,0.1243741289,0.1873392463,0.7863082
ZDHHC3,acute_coronary_syndrome,0.18441126,0.7781804582,0.783777964,0.06386000663,,0.82578963
MIS12,ectopic_rhythm,0.4305638,0.8800067338,0.7735732811,0.2152033299,0.3069042563,0.8743078
SCNN1A,endometriosis,0.12245111,0.808989682,0.8460852373,0.1614053249,0.06904755533,0.89093333
AZIN2,raynaud_disease,0.2723733,0.8271557082,0.8229191863,0.1006854475,0.4762562215,0.9022938
SUSD2,ethylmalonic_encephalopathy,0.15546393,0.8286815686,0.8125929784,0.08659305423,0.3478518426,0.8690131
MED9,chorioamnionitis,-0.015732069,0.8024919892,0.8115343947,0.1182752028,,0.89268243
FPR1,edema,-0.0065635554,0.8603508446,0.8272407802,0.06021346524,0.004190562293,0.8347634
DSG1,myositis_ossificans,0.31074625,0.799094245,0.8197564081,0.07673010975,0.2868207693,0.8611103
EML3,pemphigus_foliaceus,0.32861182,0.8428690998,0.8074532154,0.116682224,,0.84590614
TBX2,polycystic_liver_disease,0.27067626,0.780519586,0.8234837003,0.0162946023,0.3019369841,0.84511864
TARP,angina_pectoris,-0.10017432,0.8344078385,0.7574760177,0.03273223713,0.08377635479,0.8995608
RBP7,porokeratosis,0.30900383,0.7986696789,0.8429452937,0.1240779757,,0.89262617
TSKS,neurofibromatosis-noonan_syndrome,0.36222985,0.8369794892,0.8148399296,0.1347939521,,0.8518896
FSHB,retinal_diseases,0.08042222,0.8036208146,0.8455558107,0.107659243,0.372538656,0.8449104
EFHC2,hibernoma,0.4462519,0.7809438064,0.8624419487,-0.001938050496,0.4759466052,0.89050734
ERC1,adrenal_cortical_adenoma,0.61804795,0.8143641036,0.8100876113,0.008032103069,,0.87044
ARV1,water_intoxication,0.40036458,0.8303983157,0.8421549978,0.04678453505,0.1915863901,0.8560592
KSR2,gastric_adenocarcinoma,0.04597467,0.8036328423,0.8089591182,0.1512957811,,0.8494195
UMODL1,rhinorrhea,0.047850348,0.8837685069,0.8274194068,0.122398667,,0.8241571
KCP,urogenital_abnormalities,0.42689145,0.8234750595,0.8087975893,0.07989817858,,0.83840585
PPIL3,beta-galactosidase_deficiency,0.2237365,0.7951439492,0.7851242944,-0.02806393057,,0.8307792
SLC18A1,malignant_neoplasms,0.14161286,0.8619435264,0.7826831365,0.02697032318,,0.85267603
CRTC2,polycythemia,0.17157026,0.8485021824,0.8056971088,0.06606889516,0.3335655928,0.8642462
RBM38,albuminuria,0.17142001,0.9022807615,0.8457067045,0.2236150205,0.00804063119,0.87958056
KIR2DS4,sjogren-larsson_syndrome,0.2790463,0.8637131805,0.807104648,0.1563295722,0.4455883503,0.9214839
PYGB,diffuse_astrocytoma,0.18335074,0.8549079977,0.8183258539,0.07983461022,,0.8609135
LMCD1,functional_hyposplenism,-0.0060729235,0.8505145795,0.815697515,0.1077335253,0.1785519123,0.9046383
CACNA1H,ventricular_fibrillation,0.13175745,0.8401188264,0.7858096318,0.1948185265,,0.8322831
HIF1A-AS2,polyhydramnios,0.13758574,0.8772745886,0.8033880547,0.1561992466,0.2461597621,0.86111224
CHD2,acromegaly,0.15398014,0.8064909271,0.8341809223,0.06266760081,0.06904643029,0.9146854
SULT1C4,tic_disorder,0.099245235,0.8550771326,0.8353237127,0.1634958833,,0.87974375
CCR2,acute_q_fever,0.16776216,0.8991890063,0.8542373617,0.1423062831,0.1066254973,0.84855586
LGALS1,chronic_obstructive_airway_disease,0.45664445,0.8675667146,0.7424964805,0.0912091881,0.4247552752,0.8846532
SYN3,obesity,0.040124144,0.8173677959,0.8622677341,0.1347831339,,0.8861437
IL34,alcohol_withdrawal_seizures,0.42086715,0.8312585815,0.8241321889,0.1698808372,,0.85795593
ROGDI,congenital_adrenal_hyperplasia,0.4906072,0.8116635677,0.7898707826,0.2448440939,,0.8642688
ZAR1L,dyslipidemias,0.19571635,0.8790193755,0.8032133075,0.1805101037,0.2137358487,0.89164907
CRLF1,subarachnoid_hemorrhage,0.014725475,0.7963605534,0.7872120134,0.1719558835,0.06280864775,0.8193079
MCM3AP,irritable_bowel_syndrome,0.48736978,0.8279567064,0.7892233449,0.1306124926,,0.8461237
IGBP1,bulbous_nose,0.13932359,0.7927631205,0.8553739937,0.02755325846,,0.8647988
SLC25A46,hepatolenticular_degeneration,0.6596364,0.8356854924,0.8168132653,0.2888882756,,0.8678341
GLE1,leishmaniasis,0.05171965,0.8746560605,0.849678912,0.09218895435,,0.8915297
CELSR2,butyrylcholinesterase_deficiency,-0.30212286,0.857084292,0.8198856203,0.1918976009,,0.8377009
HOXC6,microvascular_angina,0.38530335,0.7588278176,0.7798050415,0.1053348407,0.4656261206,0.8506355
ASXL2,wiskott-aldrich_syndrome,0.451598,0.8308987637,0.7309854897,0.161266759,0.4934691191,0.8789396
CAPN8,polyarteritis_nodosa,0.21638149,0.8184094234,0.8239692431,-0.007082678378,,0.8666286
HMGCL,cartilage-hair_hypoplasia,0.50156134,0.7989728453,0.8241661604,0.1388155222,,0.88741684
MLX,occipital_lobe_epilepsy,0.245947,0.7625244675,0.7535787648,0.07060470432,0.1525812149,0.8203232
KIR3DP1,arteritis,0.23112684,0.8478558885,0.8352986176,0.1387705058,,0.87187016
ITGB3,shone_complex,0.274569,0.8431378735,0.8659627631,0.05833760276,0.1604046822,0.87196076
BMP7,pseudo-hurler_polydystrophy,0.15234429,0.8231279047,0.8250708132,0.1153425425,0.3143150806,0.85314715
ELF2,cardiopulmonary_arrest,0.13629015,0.8179062492,0.7680217842,0.09127605706,0.2300125957,0.8767583
LGALS13,infantile_nystagmus,0.24978963,0.8241827227,0.841936261,0.03885916248,,0.836848
IL4I1,bicuspid_aortic_valve,0.2166219,0.8262388262,0.7842148195,0.09609834105,0.211959064,0.86552405
PCDH8,intravascular_hemolysis,0.22559822,0.8051914473,0.8121281054,0.01242121123,0.3867829442,0.83951664
MIR10B,hemiparesis,0.2209208,0.8752476058,0.7566889169,0.1096432805,0.1859758645,0.85882336
ATXN1,prader-willi_syndrome,0.41940442,0.8429868405,0.8168796516,0.1756236255,0.4870247841,0.8834692
FTHL17,medulloblastoma,0.21497127,0.8071258654,0.7981792401,0.1216992289,0.2766550481,0.83749413
MIEF1,convulsions,0.054706976,0.8229818575,0.8196249012,0.1509891152,,0.9035921
MAGI2,pneumothorax,0.11816029,0.8394426723,0.8151295452,0.2018402666,0.1062615886,0.8542842
SMAD7,alpha_1-antitrypsin_deficiency,0.15838571,0.8070386041,0.8260921202,0.1504153162,0.2651973963,0.86261094
HTR3A,retinal_vascular_tortuosity,0.55751157,0.8623454492,0.8345090888,0.09018472582,,0.8163465
KCNH2,pseudohypoaldosteronism,0.31854504,0.8253880604,0.8018252954,0.2864047289,0.3930532932,0.8365695
NEUROG1,cartilage_diseases,0.31227666,0.8682044909,0.8504009256,0.1079636291,,0.85647154
CALB2,marshall_syndrome,0.39674956,0.870288368,0.8605863426,0.02360886894,0.5161129236,0.8876976
HPGD,polydactyly,0.13332176,0.8155939354,0.8272744948,0.153534174,0.3982838094,0.85025847
NODAL,proliferative_vitreoretinopathy,0.1676844,0.8305218901,0.778600337,0.06236870214,0.08690009266,0.8339701
POU1F1,pyloric_atresia,0.40260708,0.8634638697,0.8427436845,0.1601171643,0.3339207172,0.92417455
ASB2,neoplasms,0.10267371,0.8411908921,0.8101334611,0.1240443736,0.06576505303,0.8845786
TRPM6,alopecia,0.10456575,0.8009116486,0.8336946534,0.04548222199,0.09673027694,0.87832904
TMEM154,meningism,0.18468985,0.8391582294,0.8564918193,0.006654338446,,0.858433
RGN,hematologic_neoplasms,0.33920747,0.7380003292,0.703320541,0.03133152053,0.3796307445,0.74955523
TRA,hyperpigmentation,0.006196335,0.8220902213,0.7832642716,0.02835912816,0.1757555008,0.86816895
PTGDS,hyperkalemic_periodic_paralysis,0.43416744,0.8059365563,0.8072774985,0.03291744739,0.5463165045,0.8300425
MUC2,congenital_hypogonadotropic_hypogonadism,0.09803309,0.8227683746,0.7391855871,0.02584247291,0.2413133085,0.82627916
GGT1,atrial_fibrillation,0.06757656,0.7790309864,0.7557548514,0.08050072193,,0.8535437
MAPK13,situs_ambiguus,0.2761106,0.7959648919,0.8046351262,0.1443476528,,0.83931947
KIFC3,hearing_problem,0.2994673,0.8049926715,0.8292729398,0.0713981986,,0.86613667
NXPH3,brittle_diabetes,0.38067162,0.8334437303,0.8845224239,0.1053739339,,0.85315216
ADAM8,van_buchem_disease,0.3325601,0.8402567219,0.8902008875,0.1352142096,0.3629655242,0.87590474
GGTA1,short_stature,0.08355816,0.765473289,0.8155909816,0.05968597159,0.1946368217,0.84316665
STAM,malignant_mesothelioma,0.09988938,0.757003654,0.7529553542,0.06124373898,0.219047308,0.8113126
GJB6,obesity,0.080738164,0.7923549254,0.8343004159,0.1690409482,0.06333280355,0.8418379
OCLN,fg_syndrome,0.20823424,0.8977135349,0.9000325678,0.1011807397,0.3438172638,0.8984858
MED10,autistic_disorder,0.40378025,0.8329422652,0.8480063336,0.02946860716,,0.89251125
